product_category_name_english,Year,Quarter,Month,Day,Sum of price
agro_industry_and_commerce,2017,Qtr 1,January,23,43.98
agro_industry_and_commerce,2017,Qtr 1,January,31,21.99
agro_industry_and_commerce,2017,Qtr 1,February,5,21.99
agro_industry_and_commerce,2017,Qtr 1,February,8,21.99
agro_industry_and_commerce,2017,Qtr 1,February,12,92.9
agro_industry_and_commerce,2017,Qtr 1,February,13,21.99
agro_industry_and_commerce,2017,Qtr 1,February,16,21.99
agro_industry_and_commerce,2017,Qtr 1,February,18,21.99
agro_industry_and_commerce,2017,Qtr 1,February,21,21.99
agro_industry_and_commerce,2017,Qtr 1,March,17,59.99
agro_industry_and_commerce,2017,Qtr 1,March,20,22
agro_industry_and_commerce,2017,Qtr 2,May,6,59.99
agro_industry_and_commerce,2017,Qtr 2,May,8,589.99
agro_industry_and_commerce,2017,Qtr 2,May,20,869.97
agro_industry_and_commerce,2017,Qtr 2,May,28,59.99
agro_industry_and_commerce,2017,Qtr 2,June,26,1390
agro_industry_and_commerce,2017,Qtr 3,July,14,1180
agro_industry_and_commerce,2017,Qtr 3,August,30,88
agro_industry_and_commerce,2017,Qtr 3,September,5,398
agro_industry_and_commerce,2017,Qtr 3,September,13,799.99
agro_industry_and_commerce,2017,Qtr 3,September,23,796
agro_industry_and_commerce,2017,Qtr 4,October,5,35
agro_industry_and_commerce,2017,Qtr 4,October,10,22
agro_industry_and_commerce,2017,Qtr 4,October,17,849.98
agro_industry_and_commerce,2017,Qtr 4,October,23,44.3
agro_industry_and_commerce,2017,Qtr 4,October,28,2399
agro_industry_and_commerce,2017,Qtr 4,November,6,415
agro_industry_and_commerce,2017,Qtr 4,November,12,919.99
agro_industry_and_commerce,2017,Qtr 4,November,14,1211
agro_industry_and_commerce,2017,Qtr 4,November,18,399
agro_industry_and_commerce,2017,Qtr 4,November,20,2990
agro_industry_and_commerce,2017,Qtr 4,November,22,398
agro_industry_and_commerce,2017,Qtr 4,November,23,830
agro_industry_and_commerce,2017,Qtr 4,November,24,6331.6
agro_industry_and_commerce,2017,Qtr 4,November,28,398
agro_industry_and_commerce,2017,Qtr 4,November,29,39.9
agro_industry_and_commerce,2017,Qtr 4,December,1,425
agro_industry_and_commerce,2017,Qtr 4,December,4,412
agro_industry_and_commerce,2017,Qtr 4,December,6,425
agro_industry_and_commerce,2017,Qtr 4,December,8,267
agro_industry_and_commerce,2017,Qtr 4,December,10,89.9
agro_industry_and_commerce,2017,Qtr 4,December,20,820
agro_industry_and_commerce,2017,Qtr 4,December,22,2199
agro_industry_and_commerce,2017,Qtr 4,December,28,412
agro_industry_and_commerce,2017,Qtr 4,December,29,241.8
agro_industry_and_commerce,2018,Qtr 1,January,3,228
agro_industry_and_commerce,2018,Qtr 1,January,4,1330
agro_industry_and_commerce,2018,Qtr 1,January,6,410
agro_industry_and_commerce,2018,Qtr 1,January,7,410
agro_industry_and_commerce,2018,Qtr 1,January,10,1162.94
agro_industry_and_commerce,2018,Qtr 1,January,12,465
agro_industry_and_commerce,2018,Qtr 1,January,13,29.5
agro_industry_and_commerce,2018,Qtr 1,January,16,412
agro_industry_and_commerce,2018,Qtr 1,January,17,412
agro_industry_and_commerce,2018,Qtr 1,January,18,92
agro_industry_and_commerce,2018,Qtr 1,January,24,19.5
agro_industry_and_commerce,2018,Qtr 1,January,25,58.5
agro_industry_and_commerce,2018,Qtr 1,January,30,412
agro_industry_and_commerce,2018,Qtr 1,January,31,412
agro_industry_and_commerce,2018,Qtr 1,February,1,35
agro_industry_and_commerce,2018,Qtr 1,February,2,431.5
agro_industry_and_commerce,2018,Qtr 1,February,4,412
agro_industry_and_commerce,2018,Qtr 1,February,5,328
agro_industry_and_commerce,2018,Qtr 1,February,6,19.5
agro_industry_and_commerce,2018,Qtr 1,February,7,940.5
agro_industry_and_commerce,2018,Qtr 1,February,8,258.8
agro_industry_and_commerce,2018,Qtr 1,February,9,412
agro_industry_and_commerce,2018,Qtr 1,February,14,824
agro_industry_and_commerce,2018,Qtr 1,February,16,549
agro_industry_and_commerce,2018,Qtr 1,February,22,58.5
agro_industry_and_commerce,2018,Qtr 1,February,23,824
agro_industry_and_commerce,2018,Qtr 1,February,25,465
agro_industry_and_commerce,2018,Qtr 1,February,26,25
agro_industry_and_commerce,2018,Qtr 1,February,27,412
agro_industry_and_commerce,2018,Qtr 1,February,28,1410
agro_industry_and_commerce,2018,Qtr 1,March,1,35
agro_industry_and_commerce,2018,Qtr 1,March,2,19.5
agro_industry_and_commerce,2018,Qtr 1,March,5,712.5
agro_industry_and_commerce,2018,Qtr 1,March,6,410
agro_industry_and_commerce,2018,Qtr 1,March,7,170.5
agro_industry_and_commerce,2018,Qtr 1,March,12,23
agro_industry_and_commerce,2018,Qtr 1,March,13,330
agro_industry_and_commerce,2018,Qtr 1,March,14,877.5
agro_industry_and_commerce,2018,Qtr 1,March,16,522
agro_industry_and_commerce,2018,Qtr 1,March,18,19.5
agro_industry_and_commerce,2018,Qtr 1,March,19,39
agro_industry_and_commerce,2018,Qtr 1,March,20,470.5
agro_industry_and_commerce,2018,Qtr 1,March,22,960
agro_industry_and_commerce,2018,Qtr 1,March,26,820
agro_industry_and_commerce,2018,Qtr 1,March,28,198
agro_industry_and_commerce,2018,Qtr 1,March,29,412
agro_industry_and_commerce,2018,Qtr 2,April,3,465
agro_industry_and_commerce,2018,Qtr 2,April,4,58.5
agro_industry_and_commerce,2018,Qtr 2,April,5,412
agro_industry_and_commerce,2018,Qtr 2,April,12,549
agro_industry_and_commerce,2018,Qtr 2,April,13,88
agro_industry_and_commerce,2018,Qtr 2,April,17,412
agro_industry_and_commerce,2018,Qtr 2,April,18,1476.3
agro_industry_and_commerce,2018,Qtr 2,April,19,228
agro_industry_and_commerce,2018,Qtr 2,April,24,77
agro_industry_and_commerce,2018,Qtr 2,April,25,228
agro_industry_and_commerce,2018,Qtr 2,April,27,410
agro_industry_and_commerce,2018,Qtr 2,April,28,96.9
agro_industry_and_commerce,2018,Qtr 2,May,6,45
agro_industry_and_commerce,2018,Qtr 2,May,7,269.9
agro_industry_and_commerce,2018,Qtr 2,May,8,410
agro_industry_and_commerce,2018,Qtr 2,May,9,68.85
agro_industry_and_commerce,2018,Qtr 2,May,10,1592
agro_industry_and_commerce,2018,Qtr 2,May,17,429
agro_industry_and_commerce,2018,Qtr 2,May,30,465
agro_industry_and_commerce,2018,Qtr 2,June,5,479
agro_industry_and_commerce,2018,Qtr 2,June,7,1234
agro_industry_and_commerce,2018,Qtr 2,June,11,260
agro_industry_and_commerce,2018,Qtr 2,June,12,35
agro_industry_and_commerce,2018,Qtr 2,June,22,599
agro_industry_and_commerce,2018,Qtr 2,June,24,35
agro_industry_and_commerce,2018,Qtr 2,June,25,124.9
agro_industry_and_commerce,2018,Qtr 2,June,27,549
agro_industry_and_commerce,2018,Qtr 2,June,28,199.9
agro_industry_and_commerce,2018,Qtr 3,July,1,469
agro_industry_and_commerce,2018,Qtr 3,July,4,613.9
agro_industry_and_commerce,2018,Qtr 3,July,10,559.99
agro_industry_and_commerce,2018,Qtr 3,July,16,420
agro_industry_and_commerce,2018,Qtr 3,July,17,133.88
agro_industry_and_commerce,2018,Qtr 3,July,18,1451.18
agro_industry_and_commerce,2018,Qtr 3,July,19,1184.48
agro_industry_and_commerce,2018,Qtr 3,July,20,105
agro_industry_and_commerce,2018,Qtr 3,July,23,120
agro_industry_and_commerce,2018,Qtr 3,July,24,711.89
agro_industry_and_commerce,2018,Qtr 3,July,25,109.9
agro_industry_and_commerce,2018,Qtr 3,July,28,600.1700000000001
agro_industry_and_commerce,2018,Qtr 3,July,29,1195.58
agro_industry_and_commerce,2018,Qtr 3,July,30,29.99
agro_industry_and_commerce,2018,Qtr 3,July,31,51.73
agro_industry_and_commerce,2018,Qtr 3,August,2,1078.5
agro_industry_and_commerce,2018,Qtr 3,August,4,1899
agro_industry_and_commerce,2018,Qtr 3,August,5,149.9
agro_industry_and_commerce,2018,Qtr 3,August,6,473.9
agro_industry_and_commerce,2018,Qtr 3,August,10,359.8
agro_industry_and_commerce,2018,Qtr 3,August,18,23.9
agro_industry_and_commerce,2018,Qtr 3,August,20,551.11
agro_industry_and_commerce,2018,Qtr 3,August,24,32
agro_industry_and_commerce,2018,Qtr 3,August,25,439.99
agro_industry_and_commerce,2018,Qtr 3,August,26,12.99
air_conditioning,2016,Qtr 4,October,4,749.6899999999999
air_conditioning,2016,Qtr 4,October,5,599.6
air_conditioning,2016,Qtr 4,October,7,357.8
air_conditioning,2017,Qtr 1,January,23,299.8
air_conditioning,2017,Qtr 1,January,27,174.9
air_conditioning,2017,Qtr 1,January,28,189
air_conditioning,2017,Qtr 1,February,10,109
air_conditioning,2017,Qtr 1,February,14,690
air_conditioning,2017,Qtr 1,February,17,877.9
air_conditioning,2017,Qtr 1,February,18,375.8
air_conditioning,2017,Qtr 1,February,19,602.7
air_conditioning,2017,Qtr 1,February,20,187.9
air_conditioning,2017,Qtr 1,February,22,252
air_conditioning,2017,Qtr 1,March,2,889.98
air_conditioning,2017,Qtr 1,March,7,794.98
air_conditioning,2017,Qtr 1,March,9,59.9
air_conditioning,2017,Qtr 1,March,10,169.9
air_conditioning,2017,Qtr 1,March,11,869.95
air_conditioning,2017,Qtr 1,March,12,430
air_conditioning,2017,Qtr 1,March,13,59.9
air_conditioning,2017,Qtr 1,March,14,350
air_conditioning,2017,Qtr 1,March,15,119.8
air_conditioning,2017,Qtr 1,March,17,59.9
air_conditioning,2017,Qtr 1,March,21,59.9
air_conditioning,2017,Qtr 1,March,22,59.9
air_conditioning,2017,Qtr 1,March,23,59.9
air_conditioning,2017,Qtr 1,March,28,59.9
air_conditioning,2017,Qtr 1,March,31,59.9
air_conditioning,2017,Qtr 2,April,1,59.9
air_conditioning,2017,Qtr 2,April,2,59.9
air_conditioning,2017,Qtr 2,April,8,198.8
air_conditioning,2017,Qtr 2,April,9,119.8
air_conditioning,2017,Qtr 2,April,10,626.78
air_conditioning,2017,Qtr 2,April,15,799.95
air_conditioning,2017,Qtr 2,April,17,90
air_conditioning,2017,Qtr 2,April,18,150
air_conditioning,2017,Qtr 2,April,19,277.8
air_conditioning,2017,Qtr 2,April,24,89
air_conditioning,2017,Qtr 2,April,27,110.3
air_conditioning,2017,Qtr 2,May,3,199
air_conditioning,2017,Qtr 2,May,4,178
air_conditioning,2017,Qtr 2,May,8,249.9
air_conditioning,2017,Qtr 2,May,11,161.99
air_conditioning,2017,Qtr 2,May,14,101.9
air_conditioning,2017,Qtr 2,May,18,25.99
air_conditioning,2017,Qtr 2,May,31,99.99
air_conditioning,2017,Qtr 2,June,9,13.9
air_conditioning,2017,Qtr 2,June,10,99.99
air_conditioning,2017,Qtr 2,June,11,616.8
air_conditioning,2017,Qtr 2,June,14,25.99
air_conditioning,2017,Qtr 2,June,19,99
air_conditioning,2017,Qtr 2,June,20,155.9
air_conditioning,2017,Qtr 2,June,25,169
air_conditioning,2017,Qtr 2,June,28,799.95
air_conditioning,2017,Qtr 2,June,29,103.95
air_conditioning,2017,Qtr 3,July,4,10.9
air_conditioning,2017,Qtr 3,July,12,125.9
air_conditioning,2017,Qtr 3,July,18,1032.4
air_conditioning,2017,Qtr 3,July,31,226.9
air_conditioning,2017,Qtr 3,August,1,398.87
air_conditioning,2017,Qtr 3,August,6,54.9
air_conditioning,2017,Qtr 3,August,8,125.9
air_conditioning,2017,Qtr 3,August,10,144
air_conditioning,2017,Qtr 3,August,12,109
air_conditioning,2017,Qtr 3,August,18,176.26
air_conditioning,2017,Qtr 3,August,19,453.8
air_conditioning,2017,Qtr 3,August,21,1589.96
air_conditioning,2017,Qtr 3,August,28,89
air_conditioning,2017,Qtr 3,August,31,1130.04
air_conditioning,2017,Qtr 3,September,6,99
air_conditioning,2017,Qtr 3,September,7,176.26
air_conditioning,2017,Qtr 3,September,9,99
air_conditioning,2017,Qtr 3,September,10,101.9
air_conditioning,2017,Qtr 3,September,12,99
air_conditioning,2017,Qtr 3,September,14,236.9
air_conditioning,2017,Qtr 3,September,26,199
air_conditioning,2017,Qtr 3,September,28,719.99
air_conditioning,2017,Qtr 4,October,6,890.52
air_conditioning,2017,Qtr 4,October,12,269.9
air_conditioning,2017,Qtr 4,October,15,875
air_conditioning,2017,Qtr 4,October,18,158
air_conditioning,2017,Qtr 4,October,21,369
air_conditioning,2017,Qtr 4,November,1,75.9
air_conditioning,2017,Qtr 4,November,2,100
air_conditioning,2017,Qtr 4,November,9,339.79999999999995
air_conditioning,2017,Qtr 4,November,10,229.99
air_conditioning,2017,Qtr 4,November,14,359.9
air_conditioning,2017,Qtr 4,November,15,258
air_conditioning,2017,Qtr 4,November,19,408.98
air_conditioning,2017,Qtr 4,November,22,129
air_conditioning,2017,Qtr 4,November,23,236.9
air_conditioning,2017,Qtr 4,November,26,1546.2
air_conditioning,2017,Qtr 4,November,28,110
air_conditioning,2017,Qtr 4,November,29,281.95
air_conditioning,2017,Qtr 4,December,1,169.9
air_conditioning,2017,Qtr 4,December,9,498.9
air_conditioning,2018,Qtr 1,January,2,448.9
air_conditioning,2018,Qtr 1,January,10,1607.8
air_conditioning,2018,Qtr 1,January,14,85.9
air_conditioning,2018,Qtr 1,January,16,589.8
air_conditioning,2018,Qtr 1,January,17,223.99
air_conditioning,2018,Qtr 1,January,20,35.9
air_conditioning,2018,Qtr 1,January,21,89
air_conditioning,2018,Qtr 1,January,22,320.78
air_conditioning,2018,Qtr 1,January,23,403.28
air_conditioning,2018,Qtr 1,January,26,129
air_conditioning,2018,Qtr 1,January,27,438.59000000000003
air_conditioning,2018,Qtr 1,January,30,149
air_conditioning,2018,Qtr 1,January,31,152.8
air_conditioning,2018,Qtr 1,February,3,199
air_conditioning,2018,Qtr 1,February,9,189.9
